Chester County Lacrosse Association,,,,,,,,
Spring 2013 Master Schedule (final version released 3/9/13 7:00PM),,,,,,,,
THIS IS THE FINAL SCHEDULE: REMIND COACHES OF THEIR LEAGUE OBLIGATION TO PLAY EVERY GAME AS SCHEDULED,,,,,,,,
"Field directions, rules, referee assignments, and the most current league information can be found at www.cclalax.org",,,,,,,,
,,,,,,,,
ABG = Abington,,CVL = Collegeville,,,PHX = Phoenixville,,,
ASH = Ashbee,,GV = Great Valley,,,ST = Conestoga,,,
AVG = Avon Grove,,KEN = Kennett,,,UNV = Unionville,,,
BYC = Brandywine,,LV = Lionville,,,WB = West Bradford/Downingtown MS,,,
COV = Coventry,,,,,WC = West Chester,,,
,,,,click arrow to,,,, filter for team
,,,,filter for level,,,," ""text filter contains"""
Game #,Date,Day,Time,Level,Visitor,Home,Field,Team
524,4/13/13,Sat,12:00 PM,U11B,LV1,COV2,COV Batdorf Park,LV1COV2
1,4/13/13,Sat,10:00 AM,U15A,COV,CVL,CVL Black Rock 6,COVCVL
481,4/13/13,Sat,12:00 PM,U11B,CVL2,CVL1,CVL Warrior Field,CVL2CVL1
195,4/13/13,Sat,2:00 PM,U13C,ST,CVL,CVL Warrior Field,STCVL
578,4/13/13,Sat,12:15 PM,U11B,AVG1,GV2,GV Great Valley MS,AVG1GV2
278,4/13/13,Sat,2:00 PM,U15B,COV,GV,GV Great Valley MS,COVGV
317,4/13/13,Sat,10:00 AM,U15B,LV,KEN,KEN Legacy Field C,LVKEN
458,4/13/13,Sat,12:00 PM,U13B,AVG2,KEN,KEN Legacy Field C,AVG2KEN
632,4/13/13,Sat,2:00 PM,U11B,AVG2,KEN1,KEN Legacy Field C,AVG2KEN1
130,4/13/13,Sat,10:00 AM,U11A,CVL,LV,LV Eagleview 1,CVLLV
533,4/13/13,Sat,12:00 PM,U11B,ABG1,LV2,LV Eagleview 1,ABG1LV2
92,4/13/13,Sat,2:00 PM,U13A,ASH,LV,LV Hoeffecker,ASHLV
26,4/13/13,Sat,4:00 PM,U15A,ASH,LV,LV Hoeffecker,ASHLV
367,4/13/13,Sat,12:00 PM,U13B,COV1,LV2,LV Lionville MS,COV1LV2
471,4/13/13,Sat,4:00 PM,U13B,WC3,PHX,PHX PMYC,WC3PHX
531,4/13/13,Sat,12:00 PM,U11B,PHX,ST,ST TE Middle Sch 1,PHXST
398,4/13/13,Sat,10:00 AM,U13B,LV1,ST2,ST TE Middle Sch 2,LV1ST2
354,4/13/13,Sat,2:00 PM,U13B,CVL,ST1,ST TE Middle Sch 2,CVLST1
33,4/13/13,Sat,12:00 PM,U15A,WC,ST,ST Wilson Park TEYSA,WCST
464,4/13/13,Sat,4:00 PM,U13B,ASH,UNV,UNV Upland Country DS,ASHUNV
599,4/13/13,Sat,12:00 PM,U11B,BYC3,WB1,WB Embreeville,BYC3WB1
603,4/13/13,Sat,2:00 PM,U11B,KEN2,WB2,WB Embreeville,KEN2WB2
311,4/13/13,Sat,10:00 AM,U15B,ST,WC1,WC Kelly Field,STWC1
209,4/13/13,Sat,2:00 PM,U13C,ABG,WC,WC Kelly Field,ABGWC
424,4/13/13,Sat,4:00 PM,U13B,WB2,WC4,WC Kelly Field,WB2WC4
406,4/13/13,Sat,2:00 PM,U13B,WB1,WC2,WC Rustin HS Grass,WB1WC2
268,4/13/13,Sat,4:00 PM,U15B,CVL,WC3,WC Rustin HS Grass,CVLWC3
551,4/14/13,Sun,2:00 PM,U11B,LV3,ASH,ASH Lower Merion HS,LV3ASH
295,4/14/13,Sun,2:00 PM,U15B,ABG,BYC,BYC Garnet Valley MS,ABGBYC
16,4/14/13,Sun,2:00 PM,U15A,BYC,COV,COV Batdorf Park,BYCCOV
271,4/14/13,Sun,4:00 PM,U15B,AVG,COV,COV Batdorf Park,AVGCOV
135,4/14/13,Sun,12:00 PM,U11A,AVG,CVL,CVL Warrior Field,AVGCVL
71,4/14/13,Sun,2:00 PM,U13A,AVG,CVL,CVL Warrior Field,AVGCVL
213,4/14/13,Sun,2:00 PM,U13C,ABG,KEN,KEN Kennett MS,ABGKEN
55,4/14/13,Sun,2:00 PM,U15A,ST,LV,LV Hoeffecker,STLV
301,4/15/13,Mon,6:30 PM,U15B,WC1,ASH,ASH Lower Merion HS,WC1ASH
234,4/15/13,Mon,6:30 PM,U13C,LV1,BYC,BYC Bethel Spr ES 12,LV1BYC
315,4/15/13,Mon,6:30 PM,U15B,ST,BYC,BYC Garnet Valley MS,STBYC
387,4/15/13,Mon,6:30 PM,U13B,ABG,LV2,LV Lionville MS,ABGLV2
443,4/15/13,Mon,6:30 PM,U13B,KEN,WB2,WB Embreeville,KENWB2
293,4/15/13,Mon,6:30 PM,U15B,ABG,WC3,WC Kelly Field,ABGWC3
82,4/16/13,Tue,6:30 PM,U13A,ASH,ABG,ABG Huntingdon Lower N,ASHABG
214,4/16/13,Tue,6:30 PM,U13C,ST,ASH,ASH Lower Merion HS,STASH
455,4/16/13,Tue,6:30 PM,U13B,BYC2,AVG2,AVG Avon Grove HS 1,BYC2AVG2
409,4/16/13,Tue,6:30 PM,U13B,WC2,BYC1,BYC Garnet Valley MS,WC2BYC1
366,4/16/13,Tue,7:00 PM,U13B,WC1,COV1,COV OJR HS,WC1COV1
353,4/16/13,Tue,6:30 PM,U13B,ASH,CVL,CVL Black Rock 6,ASHCVL
246,4/16/13,Tue,6:30 PM,U13C,AVG1,GV,GV Great Valley MS,AVG1GV
106,4/16/13,Tue,6:30 PM,U13A,GV,LV,LV Hoeffecker,GVLV
395,4/16/13,Tue,6:30 PM,U13B,ST1,LV1,LV Lionville MS,ST1LV1
207,4/16/13,Tue,6:30 PM,U13C,ABG,LV2,LV Pine Creek 2,ABGLV2
368,4/16/13,Tue,6:30 PM,U13B,COV2,PHX,PHX PMYC,COV2PHX
475,4/16/13,Tue,6:30 PM,U13B,UNV,ST2,ST TE Middle Sch 1,UNVST2
423,4/16/13,Tue,6:30 PM,U13B,WC4,WB1,WB Embreeville,WC4WB1
169,4/16/13,Tue,6:30 PM,U11A,BYC,WC1,WC Kelly Field,BYCWC1
119,4/16/13,Tue,8:00 PM,U13A,BYC,WC,WC Kelly Field,BYCWC
137,4/17/13,Wed,6:30 PM,U11A,ASH,ABG,ABG Huntingdon Lower N,ASHABG
567,4/17/13,Wed,6:30 PM,U11B,GV1,AVG1,AVG Harmony Park,GV1AVG1
637,4/17/13,Wed,6:30 PM,U11B,CVL3,BYC1,BYC Bethel Spr ES 12,CVL3BYC1
487,4/17/13,Wed,6:30 PM,U11B,ABG2,CVL1,CVL Warrior Field,ABG2CVL1
574,4/17/13,Wed,6:30 PM,U11B,UNV,GV2,GV Great Valley MS,UNVGV2
624,4/17/13,Wed,6:30 PM,U11B,BYC2,KEN2,KEN Legacy Field B,BYC2KEN2
525,4/17/13,Wed,6:30 PM,U11B,COV2,LV2,LV Eagleview 1,COV2LV2
165,4/17/13,Wed,6:30 PM,U11A,AVG,LV,LV Eagleview 2,AVGLV
548,4/17/13,Wed,6:30 PM,U11B,ASH,ST,ST TE Middle Sch 1,ASHST
157,4/17/13,Wed,6:30 PM,U11A,ST,UNV,UNV Patton MS 17,STUNV
607,4/17/13,Wed,6:30 PM,U11B,BYC3,WB2,WB Embreeville,BYC3WB2
582,4/17/13,Wed,6:30 PM,U11B,KEN1,WC1,WC Kelly Field,KEN1WC1
190,4/17/13,Wed,8:00 PM,U11A,KEN,WC2,WC Kelly Field,KENWC2
45,4/18/13,Thu,6:30 PM,U15A,AVG,BYC,BYC Garnet Valley MS,AVGBYC
21,4/18/13,Thu,6:30 PM,U15A,ABG,GV,GV Great Valley MS,ABGGV
13,4/18/13,Thu,6:30 PM,U15A,COV,LV,LV Hoeffecker,COVLV
4,4/18/13,Thu,6:30 PM,U15A,CVL,ST,ST Wilson Park CYL,CVLST
283,4/18/13,Thu,6:30 PM,U15B,PHX,WB,WB Downingtown MS,PHXWB
28,4/18/13,Thu,6:30 PM,U15A,ASH,WC,WC Kelly Field,ASHWC
321,4/18/13,Thu,8:00 PM,U15B,LV,WC2,WC Kelly Field,LVWC2
633,4/20/13,Sat,12:00 PM,U11B,KEN2,AVG2,AVG Avon Grove HS 1,KEN2AVG2
228,4/20/13,Sat,2:00 PM,U13C,ST,AVG1,AVG Avon Grove HS 1,STAVG1
350,4/20/13,Sat,2:00 PM,U13B,CVL,COV2,COV Batdorf Park,CVLCOV2
46,4/20/13,Sat,4:00 PM,U15A,CVL,COV,COV Batdorf Park,CVLCOV
492,4/20/13,Sat,12:00 PM,U11B,LV2,CVL2,CVL Warrior Field,LV2CVL2
508,4/20/13,Sat,2:00 PM,U11B,PHX,CVL3,CVL Warrior Field,PHXCVL3
558,4/20/13,Sat,2:00 PM,U11B,GV2,GV1,GV Great Valley MS,GV2GV1
32,4/20/13,Sat,4:00 PM,U15A,ST,GV,GV Great Valley MS,STGV
