Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
2013001830,04/19/2015,12:00 PM,1:30 PM,Souderton B3,Souderton,Game,New Hope B3,,,,,3768578,,
2013001588,04/19/2015,12:00 PM,1:30 PM,Lower Bucks White A3,William Penn Middle Scho,Game,Spring-Ford A3,,,,,3768117,,
2013001242,04/19/2015,12:00 PM,1:30 PM,Warriors A2,Twin Oaks Day Camp Field,Game,Crooked Crosse A2,,,,,3767803,,
,04/19/2015,1:00 PM,2:30 PM,Ashbee B2,Lower Merion - Grass,Game,Ridley B2,,,,,3769597,,
,04/19/2015,1:00 PM,2:30 PM,Marple Newtown B1,Episcopal Academy Turf,Game,Interboro B1,,,,,3768905,,
2013001120,04/19/2015,1:00 PM,2:30 PM,Springfield A1A,Encke Field,Game,Radnor A1A,,,,,3750144,,
,04/19/2015,1:00 PM,2:30 PM,Radnor White B3,Prevost Field,Game,Haven B3,,,,,3769815,,
,04/19/2015,1:00 PM,2:15 PM,Haven C,Haven - King Field Turf,Game,Rose Tree C,,,,,3771114,,
,04/19/2015,1:00 PM,2:15 PM,Aston C2,Aston (Pennell Field),Game,Drexel Hill C2,,,,,3771222,,
,04/19/2015,1:00 PM,2:15 PM,Conshohocken C2,Conshohocken,Game,Upper Merion C2,,,,,3771223,,
,04/19/2015,1:00 PM,2:30 PM,Drexel Hill B2,Drexel Hill,Game,Radnor B2,,,,,3769598,,
,04/19/2015,1:00 PM,2:15 PM,Springfield C1,Springfield - Church Rd,Game,Marple Newtown C,,,,,3771112,,
2013001095,04/19/2015,1:00 PM,2:30 PM,Haverford A1A,Haverford,Game,Moorestown A1A,,,,,3750119,,
,04/19/2015,1:00 PM,2:30 PM,UpperMerion,Heuser Field 1,Game,Springfield B2,,,,,3769599,,
2013001770,04/19/2015,1:30 PM,3:00 PM,Upper Moreland B3,Nathaniel Boileau Park,Game,Horsham B3,,,,,3768281,,
2013001783,04/19/2015,1:30 PM,3:00 PM,Wissahickon Blue B3,Wissahickon,Game,Boyertown B3,,,,,3768294,,
2013001577,04/19/2015,1:30 PM,3:00 PM,Lansing A3,Abraham Lincoln High Sch,Game,CBAA A3,,,,,3768106,,
2013001680,04/19/2015,1:30 PM,3:00 PM,Phoenixville B2,PMYC Clubhouse Field,Game,Boyertown B2,,,,,3768205,,
2013001773,04/19/2015,1:30 PM,3:00 PM,Wariors Blue B3,Twin Oaks Day Camp Field,Game,Council Rock B3,,,,,3768284,,
2013001750,04/19/2015,1:30 PM,3:00 PM,Perkiomen Valley B3,Perk Valley Middle Schoo,Game,Lower Bucks White B3,,,,,3768266,,
2013001729,04/19/2015,1:30 PM,3:00 PM,Lower Bucks Blue B3,William Penn Middle Scho,Game,Spring-Ford B3,,,,,3768245,,
2013001829,04/19/2015,1:30 PM,3:00 PM,Souderton B2,Souderton,Game,Lansing B2,,,,,3768577,,
,04/19/2015,2:30 PM,3:45 PM,Haven C2,Haven - King Field Turf,Game,Springfield C2,,,,,3771225,,
,04/19/2015,2:45 PM,4:15 PM,Radnor Maroon B3,Prevost Field,Game,Rose Tree B3,,,,,3769816,,
,04/19/2015,2:45 PM,4:15 PM,Marple B3,Episcopal Academy Turf,Game,Haverford B3,,,,,3769817,,
,04/19/2015,2:45 PM,4:00 PM,Ashbee C,Lower Merion - Grass,Game,Haverford C,,,,,3771116,,
,04/19/2015,2:45 PM,4:00 PM,Upper Merion C,Heuser Field 1,Game,Interboro Black C,,,,,3771113,,
,04/19/2015,2:45 PM,4:15 PM,Radnor B1,Encke Field,Game,Asbee B1,,,,,3768906,,
,04/19/2015,2:45 PM,4:15 PM,Haverford B2,Haverford,Game,Conshohocken B1,,,,,3769600,,
,04/19/2015,3:00 PM,4:30 PM,Ridley B3,Ridley Municipal Park,Game,Aston B3,,,,,3769818,,
2013001636,04/19/2015,3:00 PM,4:30 PM,Deep Run B1,Deep Run,Game,Calvary B1,,,,,3768165,,
2013001788,04/19/2015,3:00 PM,4:30 PM,Wissahickon Gold B3,Wissahickon,Game,Spartan B3,,,,,3768299,,
2013001191,04/19/2015,3:00 PM,4:30 PM,Perkiomen Valley A1,Perk Valley Middle Schoo,Game,Boyertown A1,,,,,3767764,,
2013001643,04/19/2015,3:00 PM,4:30 PM,Lower Bucks B1,William Penn Middle Scho,Game,Warriors B1,,,,,3768172,,
2013001558,04/19/2015,3:30 PM,5:00 PM,Calvary A3,Calvary AA,Game,Perkiomen Valley A3,,,,,3768087,,
2013001695,04/19/2015,4:30 PM,6:00 PM,Wissahickon B2,Wissahickon,Game,Warriors B2,,,,,3768216,,
,04/19/2015,4:45 PM,6:00 PM,Ridley C,Ridley Municipal Park,Game,Radnor C,,,,,3771115,,
2013001574,04/25/2015,9:00 AM,10:30 AM,Horsham A3,Cedar Hill Park,Game,CBAA A3,,,,,3768103,,
2013001589,04/25/2015,9:00 AM,10:30 AM,Lower Bucks White A3,William Penn Middle Scho,Game,Council Rock  A3,,,,,3768118,,
2013001592,04/25/2015,9:00 AM,10:30 AM,North Penn A3,Pennbrook Middle School,Game,Wissahickon A3,,,,,3768121,,
2013001111,04/25/2015,9:00 AM,10:30 AM,Radnor A1A,Radnor High School,Game,Moorestown A1A,,,,,3750135,,
,04/25/2015,10:00 AM,11:30 AM,Lower Bucks A1,Middletown Comm Park,Game,Conshohocken A1,,,,,3760524,,
,04/25/2015,10:00 AM,11:30 AM,Wissahickon A1,Wissahickon,Game,Warriors A1,,,,,3760522,,
