Game,Date,Time,Field,Bracket,Round,Team,Game Score,Sportsmanship Rating,Sportsmanship Notes,Ref Rating,Ref Rating Notes,EH ID
104,07/20/2013,11:20 AM,23,VARA-1 & 2,2,SF BIG HORNS (PA),1,5,,,,35275
104,07/20/2013,11:20 AM,23,VARA-1 & 2,2,TEAM TOTAL ELITE (MI),7,5,,,,35276
105,07/20/2013,11:20 AM,24,VARA-1 & 2,2,QUAKE VARSITY GOLD (NJ),5,5,,,,35277
105,07/20/2013,11:20 AM,24,VARA-1 & 2,2,MILITIA ELITE (VA),12,5,,,,35278
106,07/20/2013,11:20 AM,25,VARB-2,2,FCA GEORGIA (GA),7,4,,,,35279
106,07/20/2013,11:20 AM,25,VARB-2,2,GRIP-IT N' RIP-IT WHITE (NY),6,4,,,,35280
107,07/20/2013,11:20 AM,26,VARB-2,2,ENDLESS LACROSSE CLUB (MD),9,5,,,,35281
107,07/20/2013,11:20 AM,26,VARB-2,2,BUCKS 2014/2015 - BRUEMMER (PA),3,5,,,,35282
108,07/20/2013,11:20 AM,27,VARB-2,2,HORNETS FUTURES (NJ),1,3,,,,35283
108,07/20/2013,11:20 AM,27,VARB-2,2,LEHIGH VALLEY STEAM (PA),6,5,,,,35284
109,07/20/2013,12:10 PM,1,U15B-2 & 3,3,GARDEN CITY '17 (NY),11,5,,,,35285
109,07/20/2013,12:10 PM,1,U15B-2 & 3,3,PROVIDENCE ROAD 2 (PA),3,5,,,,35286
110,07/20/2013,12:10 PM,2,U15B-2 & 3,3,TRI-STATE U15 GREY (NJ),4,5,,,,35287
110,07/20/2013,12:10 PM,2,U15B-2 & 3,3,LV LIGHTNING WHITE (PA),1,5,,,,35288
111,07/20/2013,12:10 PM,3,U15B-2 & 3,3,GREEN & GOLD 7TH/8TH (NJ),2,5,,,,35289
111,07/20/2013,12:10 PM,3,U15B-2 & 3,3,PITLAX U15 (PA),5,5,,,,35290
112,07/20/2013,12:10 PM,4,U11B-2,3,BAGGATAWAY LC U11 (PA),1,4,,,,35291
112,07/20/2013,12:10 PM,4,U11B-2,3,TEAM 91 2021 ORANGE (NY),12,3,,,,35292
113,07/20/2013,12:10 PM,5,U11B-2,3,MUCKDAWGS (PA),3,4,,,,35293
113,07/20/2013,12:10 PM,5,U11B-2,3,BLACK BEAR (PA),9,3,,,,35294
114,07/20/2013,12:10 PM,6,U11B-2,3,RISING SONS 2021 (PA),9,5,,,,35295
114,07/20/2013,12:10 PM,6,U11B-2,3,ROCK'EM LACROSSE (PA),2,5,,,,35296
115,07/20/2013,12:10 PM,7,U11B-2,3,LEADING EDGE 2021 (NJ),4,5,,,,35297
115,07/20/2013,12:10 PM,7,U11B-2,3,TRI-STATE U11 GOLD (NJ),5,5,,,,35298
116,07/20/2013,12:10 PM,8,U11B-2,3,NOVA WEST LACROSSE (VA),7,5,,,,35299
116,07/20/2013,12:10 PM,8,U11B-2,3,TWIST (PA),2,5,,,,35300
117,07/20/2013,12:10 PM,9,U15B-1,3,GRIP-IT N' RIP-IT YELLOW (NY),6,5,,,,35301
117,07/20/2013,12:10 PM,9,U15B-1,3,BROTHERHOOD U14 (NJ),7,5,,,,35302
118,07/20/2013,12:10 PM,10,U15B-1,3,BERKS RAPTORS (PA),3,5,,,,35303
118,07/20/2013,12:10 PM,10,U15B-1,3,CASH COWS U15 (MI),5,5,,,,35304
119,07/20/2013,12:10 PM,11,U15B-1,3,380 LACROSSE U-15 GREEN (PA),3,3,,,,35305
119,07/20/2013,12:10 PM,11,U15B-1,3,BUCKS 2017-BREITHAUPT (PA),9,4,,,,35306
